STEM,LEMMA,FORMS...
monogami,monogamy (n),monogamy (NNS)
monomaniac,monomaniac (n),monomaniac (RBR)
monopol,monopolize (v),monopolize (VB),monopolizes (NNS)
monopoli,monopoly (n),monopoly (NNS)
monorail,monorail (n),monorail (JJ)
monster,monster (n),monster (NN),monsters (NNS)
monstrous,monstrous (JJ),monstrous (JJ)
month,month (n),month (NN),months (NNS)
monument,monument (n),monument (NN)
mood,mood (n),mood (NN)
moodili,moodily (RB),moodily (RB)
moon,moon (n),moons (NNS),moon (JJ)
moonlight,moonlight (n),moonlight (RB)
moor,mooring (n),moorings (NNS)
moral,moral (n),moral (JJ),morale (NN)
morbid,morbid (JJ),morbid (JJ)
more,more (n),more (RBR)
moreov,moreover (JJ),moreover (JJ)
morgu,morgue (VBP),morgue (VBP)
morn,morning (n),morning (NN)
moron,moron (n),moron (JJ)
morrow,morrow (n),morrow (NN)
morsel,morsel (n),morsel (JJ)
mortal,mortality (n),mortality (NN),mortally (RB),mortal (NN)
most,mostly (RB),mostly (RB),most (JJS)
mote,mote (n),mote (NN)
mother,mother (n),mother (NN),mothers (NNS)
mothership,mothership (VBP),mothership (VBP)
motil,motile (n),motile (JJ)
motion,motion (n),motion (NN),motioned (VBD),motions (NNS)
motionless,motionlessness (n),motionlessness (NN),motionless (NN)
motiv,motivate (v),motivating (VBG),motive (JJ),motivated (VBN),motivations (NNS),motivate (NN),motives (NNS)
mottl,mottle (v),mottling (VBG),mottled (VBN)
mould,mould (n),mould (JJ)
moult,moult (n),moults (NNS),moultings (NNS),moult (VBP)
mound,mound (n),mound (IN)
mount,mount (n),mount (NN),mounted (VBD),mounting (VBG)
mountain,mountain (n),mountain (NN),mountains (NNS)
mourn,mournful (JJ),mournful (JJ)
mous,mouse (n),mouse (NN)
moustach,moustache (n),moustache (NN)
mouth,mouth (n),mouths (NNS),mouthfuls (FW),mouth (NN)
mouthpart,mouthpart (n),mouthparts (NNS)
move,move (n),move (NN),moving (VBG),moves (NNS),moved (VBD)
movement,movement (n),movement (NN),movements (NNS)
mover,mover (n),mover (NN)
much,much (n),much (JJ)
much-need,much-needed (JJ),much-needed (JJ)
mulish,mulish (JJ),mulish (JJ)
mull,mull (v),mulled (VBD)
multipl,multiple (n),multiple (JJ)
multipli,multiply (v),multiplied (VBD),multiplying (VBG)
multitud,multitude (VBP),multitude (VBP),multitudes (NNS)
mumbl,mumble (n),mumble (JJ)
murder,murderous (JJ),murderous (JJ),murder (NN)
murmur,murmur (v),murmured (VBN),murmurs (VBP),murmur (VBP),murmuring (VBG)
muscl,muscle (n),muscles (NNS),muscle (NN)
muse,muse (v),mused (VBD),musings (NNS)
museum,museum (VBP),museum (VBP)
mushroom,mushroomed (RBR),mushroomed (RBR)
music,music (n),music (NN)
must,must (n),must (MD)
muster,muster (v),mustering (VBG),muster (NN)
mutat,mutate (v),mutated (VBD),mutation (NN),mutations (NNS)
mute,mutely (RB),mutely (RB),mute (JJ),muted (VBN)
mutin,mutineer (n),mutineers (NNS),mutineer (NN)
mutini,mutiny (n),mutiny (JJ)
mutter,mutter (n),mutter (NN),muttered (VBN),mutterings (NNS),muttering (VBG)
mutual,mutually (RB),mutually (RB),mutual (JJ)
myriad,myriad (n),myriad (NN)
myriad-bodi,myriad-bodied (JJ),myriad-bodied (JJ)
myself,myself (PRP),myself (PRP)
mysteri,mysterious (JJ),mysterious (JJ),mysteries (NNS),mystery (NN)
mystic,mystical (JJ),mystical (JJ)
mystiqu,mystique (n),mystique (NN)
myth,myth (n),myths (NNS),myth (VB)
mytholog,mythologize (NN),mythologize (NN)
nadir,nadir (n),nadir (JJ)
nag,nag (n),nags (JJ)
nail-gun,nail-gun (JJ),nail-gun (JJ)
nake,naked (JJ),naked (JJ)
name,name (v),named (VBN),names (NNS),name (NN)
nameless,nameless (JJ),nameless (JJ)
namenlo,namenlos (JJ),namenlos (JJ)
nanovirus,nanovirus (NN),nanovirus (NN)
narrat,narrative (n),narrative (JJ)
narrow,narrow (v),narrowing (VBG),narrow (JJ)
narrow-ey,narrow-eyed (JJ),narrow-eyed (JJ)
narrowli,narrowly (RB),narrowly (RB)
nascent,nascent (JJ),nascent (JJ)
nasti,nasty (JJ),nasty (JJ)
nastili,nastily (RB),nastily (RB)
nativ,native (n),native (JJ),nativity (NN)
natur,nature (n),nature (NN),natural (JJ),naturally (RB)
natura,natura (JJ),natura (JJ)
navig,navigating (JJ),navigating (JJ),navigated (JJ),navigate (JJ),navigates (NNS)
near,nearly (RB),nearly (RB),nearing (VBG),near (IN),neared (VBN)
near-bald,near-bald (JJ),near-bald (JJ)
near-blind,near-blind (JJ),near-blind (JJ)
near-escap,near-escapes (NNS),near-escapes (NNS)
near-invis,near-invisible (JJ),near-invisible (JJ)
near-spac,near-space (JJ),near-space (JJ)
near-to-imperi,near-to-imperial (JJ),near-to-imperial (JJ)
near-tot,near-total (JJ),near-total (JJ)
nearbi,nearby (JJ),nearby (JJ)
nearest,nearest (JJS),nearest (JJS)
neat,neatly (RB),neatly (RB),neat (JJ)
neater,neater (NN),neater (NN)
nebul,nebulous (JJ),nebulous (JJ)
necess,necessity (n),necessity (NN)
necessari,necessary (n),necessary (JJ)
necessarili,necessarily (RB),necessarily (RB)
necessit,necessitates (NNS),necessitates (NNS)
neck,neck (n),neck (JJ)
need,need (n),needs (NNS),need (NN),needing (JJ),needed (VBN)
needi,needy (n),needy (NN)
needl,needle (n),needle (JJ),needled (VBD)
needless,needle (n),needless (JJ),needlessly (RB)
nefari,nefarious (JJ),nefarious (JJ)
negat,negative (n),negative (JJ),negate (JJ)
negoti,negotiated (JJ),negotiated (JJ),negotiate (NN),negotiating (VBG),negotiations (NNS),negotiation (NN)
neighbour,neighbour (v),neighbouring (VBG),neighbours (NNS)
neither,neither (CC),neither (CC)
neo-scytod,neo-scytodes (JJ),neo-scytodes (JJ)
nerv,nerve (n),nerve (NN),nerves (NNS)
nervous,nervousness (n),nervousness (JJ),nervous (JJ),nervously (RB)
nessel,nessel (NN),nessel (NN)
nest,nesting (NN),nesting (NN),nested (JJ),nests (NNS),nest (JJS)
nestl,nestle (v),nestling (VBG),nestled (JJ)
neststar,neststar (MD),neststar (MD)
net,net (n),nets (NNS),netting (VBG),net (NN)
network,network (n),network (NN),networks (NNS)
neural,neural (JJ),neural (JJ)
neurochemistri,neurochemistry (NN),neurochemistry (NN)
neurolog,neurology (n),neurology (NN)
neuron,neuron (n),neurons (NNS)
neutral,neutrally (RB),neutrally (RB),neutral (JJ),neutrality (NN)
never,never (RB),never (RB)
never-end,never-ending (JJ),never-ending (JJ)
nevertheless,nevertheless (RB),nevertheless (RB)
new,new (JJ),new (JJ)
new-born,new-born (JJ),new-born (JJ)
new-hatch,new-hatched (JJ),new-hatched (JJ)
new-mad,new-made (JJ),new-made (JJ)
new-mint,new-minted (JJ),new-minted (JJ)
newcom,newcomer (n),newcomer (NN),newcomers (NNS)
newfound,newfound (RB),newfound (RB)
newli,newly (RB),newly (RB)
news,news (n),news (NN)
next,next (JJ),next (JJ)
nice,nice (n),nice (JJ),nicely (RB)
night,night (n),night (NN),nights (NNS)
nightmar,nightmare (n),nightmares (NNS),nightmare (JJ)
nightmarish,nightmarish (JJ),nightmarish (JJ)
nimbl,nimble (JJ),nimble (JJ)
nine,nine (n),nine (CD)
nineteen,nineteen (n),nineteen (JJ)
nobodi,nobody (n),nobody (NN)
nod,nod (v),nodded (VBD),nod (JJ)
node,node (n),nodes (NNS),node (NN)
nois,noise (v),noise (VBP),noises (NNS)
noisi,noisy (JJ),noisy (JJ)
nomin,nominally (RB),nominally (RB)
non,non (RB),non (RB)
non-hierarch,non-hierarchical (JJ),non-hierarchical (JJ)
non-leth,non-lethal (JJ),non-lethal (JJ)
non-liv,non-living (JJ),non-living (JJ)
noncommitt,noncommittally (RB),noncommittally (RB),noncommittal (JJ)
none,none (n),none (NN)
nonetheless,nonetheless (RB),nonetheless (RB)
nonexist,nonexistent (JJ),nonexistent (JJ)
nonsens,nonsense (n),nonsense (RB),nonsensical (JJ)
nope,nope (VBP),nope (VBP)
nor,nor (CC),nor (CC)
normal,normally (RB),normally (RB),normal (JJ)
north,north (n),north (NN)
northern,northern (n),northern (JJ)
nose,nose (n),nose (JJ)
nostalgia,nostalgia (n),nostalgia (JJ)
nostril,nostril (n),nostrils (NNS)
not,not (RB),not (RB)
not-ailen,not-ailen (JJ),not-ailen (JJ)
not-quite-corps,not-quite-corpses (JJ),not-quite-corpses (JJ)
not-terata,not-terata (JJ),not-terata (JJ)
notabl,notably (RB),notably (RB),notable (JJ)
notat,notation (n),notation (NN)
notch,notch (n),notch (JJ)
note,note (v),noting (VBG),note (NN),noted (VBD),notes (NNS)
noth,nothing (n),nothing (NN)
notic,notice (n),notices (NNS),noticeably (RB),noticing (VBG),noticed (VBD),notice (NN)
notifi,notify (JJ),notify (JJ)
notion,notion (VBP),notion (VBP)
notwithstand,notwithstanding (VBG),notwithstanding (VBG)
nourish,nourish (v),nourishing (VBG)
novel,novel (n),novel (JJ)
now,now (n),now (RB)
nowaday,nowadays (n),nowadays (NNS)
nowher,nowhere (n),nowhere (RB)
noxious,noxious (JJ),noxious (JJ)
nozzl,nozzle (n),nozzles (NNS)
nudg,nudging (JJ),nudging (JJ)
null,null (n),null (JJ)
nullifi,nullify (v),nullify (VBP)
numb,numb (JJ),numb (JJ)
number,number (n),number (NN),numbers (NNS)
numberless,numberless (NN),numberless (NN)
numbl,numbly (RB),numbly (RB)
numer,numerical (JJ),numerical (JJ),numerous (JJ)
numin,numinous (JJ),numinous (JJ)
nun,nun (n),nuns (JJ)
nurtur,nurture (v),nurturing (VBG),nurtured (JJ)
nut-bucket,nut-bucket (JJ),nut-bucket (JJ)
oaf,oaf (n),oaf (IN)
oath,oath (n),oath (NN)
obey,obey (v),obeying (VBG),obey (VBP)
object,object (v),objected (VBD),objective (JJ),objects (VBZ),object (VBP),objectively (RB),objection (NN)
objection,objectionable (JJ),objectionable (JJ)
oblig,oblige (v),obliging (VBG)
obliqu,oblique (n),oblique (JJ)
obliter,obliterate (JJ),obliterate (JJ),obliterates (NNS),obliterated (VBN)
oblivi,oblivious (JJ),oblivious (JJ),obliviously (RB)
oblivion,oblivion (n),oblivion (NN)
obscur,obscure (v),obscuring (VBG),obscure (JJ),obscurely (RB),obscurity (NN)
observ,observer (n),observer (RB),observed (VBN),observe (NN),observing (VBG),observers (NNS),observes (NNS),observations (NNS),observation (NN)
observatori,observatory (n),observatories (NNS)
obsess,obsessively (RB),obsessively (RB),obsession (NN),obsessing (VBG),obsessed (VBD)
obsolesc,obsolescence (n),obsolescence (NN)
obsolet,obsolete (JJ),obsolete (JJ)
obtain,obtain (v),obtain (VB),obtained (VBN)
obvious,obvious (JJ),obvious (JJ),obviously (RB)
occas,occasion (n),occasion (NN),occasions (NNS)
occasion,occasionally (RB),occasionally (RB),occasional (JJ)
occup,occupant (n),occupants (NNS)
occupi,occupy (JJ),occupy (JJ),occupied (JJ),occupies (NNS)
occur,occur (v),occurring (VBG),occur (RP),occurred (VBD)
ocean,ocean (n),oceans (NNS),ocean (JJ)
ocean-wash,ocean-wash (JJ),ocean-wash (JJ)
ocular,ocular (n),ocular (JJ)
odd,odds (n),odds (NNS),odd (JJ),oddly (RB)
off,off (IN),off (IN)
off-duti,off-duty (JJ),off-duty (JJ)
off-put,off-putting (JJ),off-putting (JJ)
offenc,offence (VBP),offence (VBP)
offend,offend (v),offends (VBZ)
offens,offensive (n),offensive (JJ)
offer,offer (v),offered (VBN),offerings (NNS),offer (NN),offers (NNS),offering (VBG)
offic,officer (n),officers (NNS)
offici,official (n),official (JJ),officially (RB)
offshor,offshore (NN),offshore (NN)
offspr,offspring (n),offspring (JJ)
oft-repair,oft-repaired (JJ),oft-repaired (JJ)
often,often (RB),often (RB)
okay,okay (n),okay (IN)
old,old (n),old (JJ)
old-fashion,old-fashioned (JJ),old-fashioned (JJ)
old-world,old-world (JJ),old-world (JJ)
older,older (JJR),older (JJR)
oldest,oldest (JJS),oldest (JJS)
olfactori,olfactory (JJ),olfactory (JJ)
omiss,omission (n),omissions (NNS)
omnipres,omnipresent (JJ),omnipresent (JJ)
onboard,onboard (RB),onboard (RB)
once,once (RB),once (RB)
once-magnific,once-magnificent (JJ),once-magnificent (JJ)
one,one (n),ones (NNS),one (CD)
one-hand,one-handed (JJ),one-handed (JJ)
one-man,one-man (JJ),one-man (JJ)
one-piec,one-piece (JJ),one-piece (JJ)
one-shot,one-shot (JJ),one-shot (JJ)
one-way,one-way (JJ),one-way (JJ)
oneself,oneself (PRP),oneself (PRP)
ongo,ongoing (VBG),ongoing (VBG)
onlin,online (NN),online (NN)
only,only (RB),only (RB)
onset,onset (n),onset (IN)
onto,onto (IN),onto (IN)
onward,onward (IN),onward (IN),onwards (NNS)
opaqu,opaque (IN),opaque (IN)
open,openly (RB),openly (RB),openings (NNS),opened (VBD),opens (VBZ),opening (VBG),open (JJ)
oper,operator (n),operator (NN),operate (NN),operates (VBZ),operations (NNS),operational (JJ),operating (NN),operation (NN)
opinion,opinion (n),opinion (NN)
oppon,opponent (n),opponent (JJ),opponents (NNS)
opportun,opportunity (n),opportunity (NN)
opportunist,opportunistic (JJ),opportunistic (JJ)
opposit,opposition (n),opposition (NN),opposite (JJ)
oppress,oppress (JJ),oppress (JJ),oppressed (VBD)
oppressor,oppressor (n),oppressors (NNS)
opt,opt (v),opting (VBG)
optic,optical (JJ),optical (JJ),optics (NNS)
optimum,optimum (n),optimum (JJ)
option,option (n),option (NN),options (NNS)
orang,orange (VBP),orange (VBP)
orb,orb (n),orbs (JJ),orb (NN)
orb-web,orb-web (JJ),orb-web (JJ)
orbit,orbit (n),orbits (NNS),orbited (VBD),orbit (NN),orbital (NN),orbiting (VBG)
ordeal,ordeal (n),ordeal (JJ)
order,order (v),ordered (VBN),orders (NNS),order (NN),orderly (RB),orderlies (VBZ)
ore,ore (n),ore (IN)
organ,organized (JJ),organized (JJ),organically (RB),organization (NN),organize (JJ),organ (JJ),organic (JJ),organizations (NNS),organs (NNS),organism (VBP)
orient,orientation (n),orientation (NN),orient (NN)
orific,orifice (n),orifice (NN)
origin,originated (JJ),originated (JJ),original (JJ),origin (PRP),originating (VBG),originals (NNS),originally (RB)
ornament,ornament (n),ornament (JJ)
orphan,orphan (n),orphans (NNS)
orthodox,orthodox (JJ),orthodox (JJ)
orthodoxi,orthodoxy (n),orthodoxy (JJ)
osric,osric (JJ),osric (JJ)
ostens,ostensibly (RB),ostensibly (RB)
other,others (NNS),others (NNS),other (JJ)
otherwis,otherwise (RB),otherwise (RB)
our,our (PRP$),our (PRP$)
ours,ours (NNS),ours (NNS)
ourselves,ourselves (PRP),ourselves (PRP)
out,outlying (VBG),outlying (VBG),out (RP)
out-evolv,out-evolve (JJ),out-evolve (JJ)
out-think,out-think (NN),out-think (NN)
outbreak,outbreak (n),outbreak (JJ)
outburst,outburst (n),outburst (RB)
outcom,outcome (n),outcome (NN),outcomes (VBZ)
outdoor,outdoor (JJ),outdoor (JJ)
outer,outer (NN),outer (NN)
outfit,outfit (v),outfit (VBP)
outlast,outlast (v),outlasted (VBD),outlast (NN)
outlin,outline (n),outlines (NNS)
outliv,outlived (JJ),outlived (JJ)
outmanoeuvr,outmanoeuvre (NN),outmanoeuvre (NN)
outmatch,outmatches (NNS),outmatches (NNS)
outnumb,outnumbers (NNS),outnumbers (NNS),outnumbered (VBD)
output,output (n),output (NN)
outrag,outrage (v),outraged (VBD),outrage (NN)
outright,outright (NN),outright (NN)
outrush,outrush (NN),outrush (NN)
outsid,outside (n),outside (IN)
outsourc,outsource (v),outsourcing (VBG)
outspoken,outspoken (JJ),outspoken (JJ)
outstretch,outstretched (VBD),outstretched (VBD)
outstrip,outstrip (JJ),outstrip (JJ),outstripping (VBG)
outward,outwards (NNS),outwards (NNS),outward (VBP)
outweigh,outweighs (NNS),outweighs (NNS)
over,over (n),over (IN)
over-bold,over-bold (JJ),over-bold (JJ)
over-eag,over-eager (JJ),over-eager (JJ)
over-evolv,over-evolved (JJ),over-evolved (JJ)
over-hunt,over-hunt (JJ),over-hunt (JJ)
over-reach,over-reaching (JJ),over-reaching (JJ)
over-speci,over-specialized (JJ),over-specialized (JJ)
overal,overall (n),overall (JJ)
overcom,overcomes (NNS),overcomes (NNS),overcome (JJ)
overdo,overdo (v),overdoing (VBG)
overf,overfed (JJ),overfed (JJ)
overh,overheat (v),overheating (VBG)
overhaul,overhaul (n),overhaul (NN)
overhead,overhead (n),overhead (JJ)
overheard,overheard (IN),overheard (IN)
overkil,overkill (VBP),overkill (VBP)
overlain,overlain (NN),overlain (NN)
overlarg,overlarge (JJ),overlarge (JJ)
overload,overload (n),overload (RB)
overlook,overlook (v),overlook (VBP),overlooked (VBD)
overlord,overlord (n),overlords (NNS)
overnight,overnight (JJ),overnight (JJ)
overplay,overplayed (NN),overplayed (NN)
overr,overrated (JJ),overrated (JJ)
overrid,override (n),overrides (NNS),overriding (VBG),override (RB)
overridden,overridden (JJ),overridden (JJ)
overrod,overrode (NN),overrode (NN)
overrun,overrun (v),overrun (VBP)
overs,oversized (JJ),oversized (JJ)
overse,oversee (v),overseeing (VBG),oversee (VBP)
overseen,overseen (JJ),overseen (JJ)
overshadow,overshadow (v),overshadowed (VBN)
overshoot,overshoot (n),overshoot (NN)
overstressed-electr,overstressed-electrics (NNS),overstressed-electrics (NNS)
overt,overtly (RB),overtly (RB),overt (JJ)
overthrow,overthrow (n),overthrow (NN)
overwhelm,overwhelm (v),overwhelming (VBG),overwhelm (IN),overwhelmed (VBD)
overwrit,overwrite (v),overwriting (VBG)
overwritten,overwritten (JJ),overwritten (JJ)
owe,owe (v),owing (VBG),owe (VBP),owed (VBN),owes (VBZ)
own,own (JJ),own (JJ)
oxygen,oxygenated (JJ),oxygenated (JJ),oxygenating (VBG),oxygen (NN)
oxygen-rich,oxygen-rich (JJ),oxygen-rich (JJ)
pace,pace (n),pace (NN),paces (NNS),paced (VBN)
pack,pack (n),pack (NN),packed (VBD),packs (NNS)
packag,package (n),package (NN),packages (VBZ)
packet,packet (n),packets (NNS),packet (NN)
pad,pad (n),pad (NN),pads (NNS)
pagan,pagan (n),pagan (JJ)
page,page (n),page (JJ)
paid,pay (v),paid (VBN)
pail,pail (VBP),pail (VBP)
pain,painful (JJ),painful (JJ),pain (NN),painfully (RB)
painkil,painkiller (n),painkillers (NNS)
painless,painless (NN),painless (NN)
painstak,painstaking (NN),painstaking (NN),painstakingly (RB)
paint,paint (v),painting (VBG)
pair,pair (n),pair (JJ),paired (VBN),pairs (NNS)
palac,palace (n),palace (NN)
pale,pale (n),pale (JJ)
pall,pall (n),pall (NN)
pallid,pallid (JJ),pallid (JJ)
pallida,pallida (NN),pallida (NN)
palp,palps (VBP),palps (VBP),palp (RB)
palp-semaphor,palp-semaphore (RBR),palp-semaphore (RBR)
palp-signal,palp-signalling (JJ),palp-signalling (JJ)
pamper,pamper (v),pampered (VBD)
pan,pan (v),pan (VBP)
pan-specif,pan-specific (VB),pan-specific (VB)
pandem,pandemic (n),pandemic (JJ)
panel,panel (n),panels (NNS),panel (NN)
panic,panic (n),panic (NN)
panick,panic (v),panicking (VBG)
pantheon,pantheon (n),pantheon (NN)
pap,pap (n),pap (NN)
paper,paper (n),papers (NNS),paper (NN)
parachut,parachute (n),parachute (JJ)
parad,paraded (JJ),paraded (JJ)
paradis,paradise (VBP),paradise (VBP)
paragraph,paragraph (n),paragraph (NN)
parallel,parallel (n),parallel (NN)
paralys,paralyse (v),paralysing (VBG)
paramet,parameter (n),parameters (NNS)
paramount,paramount (NN),paramount (NN)
paranoia,paranoia (n),paranoia (NN)
parasit,parasite (n),parasites (NNS),parasitic (JJ),parasite (NN)
parcel,parcel (n),parcels (NNS),parcelled (VBN),parcelling (VBG),parcel (NN)
pare,par (v),paring (VBG),pared (VBN)
parent,parental (JJ),parental (JJ),parents (NNS)
parentag,parentage (n),parentage (NN)
parishion,parishioner (n),parishioners (NNS)
parlour,parlour (n),parlour (JJ)
parrot,parrot (v),parroting (VBG)
pars,parse (v),parsed (VBD),parse (VB)
part,part (n),parts (NNS),part (NN),parted (JJ),parting (NN),partly (RB)
partak,partake (NN),partake (NN)
parti,party (n),party (NN),parties (NNS)
partial,partial (n),partial (JJ)
particip,participate (v),participate (VB),participants (NNS)
particular,particular (n),particular (JJ),particularly (RB)
partit,partition (n),partitions (NNS)
partner,partner (n),partner (NN)
partnership,partnership (n),partnership (NN)
partway,partway (NN),partway (NN)
pass,pass (v),passing (VBG),passes (NNS),passed (VBN),pass (NN)
pass-scent,pass-scent (JJ),pass-scent (JJ)
passabl,passably (RB),passably (RB)
passag,passage (n),passage (NN)
passageway,passageway (n),passageways (NNS)
passion,passion (n),passion (NN)
passiv,passive (n),passive (JJ),passively (RB)
password,password (n),password (NN)
past,past (n),past (IN)
patch,patch (v),patched (VBD),patching (VBG),patch (VBP),patches (VBZ)
patchi,patchy (NN),patchy (NN)
patchili,patchily (RB),patchily (RB)
patchwork,patchwork (n),patchwork (NN)
patent,patent (n),patents (NNS),patent (VBP)
path,path (n),path (NN),paths (NNS)
pathet,pathetic (JJ),pathetic (JJ)
pathway,pathway (n),pathways (NNS)
patienc,patience (n),patience (NN)
patient,patient (n),patient (NN),patiently (RB)
patro,patroness (n),patroness (NN)
patronag,patronage (n),patronage (NN)
pattern,pattern (v),pattern (VBP),patterns (VBZ)
pattern-recognit,pattern-recognition (NN),pattern-recognition (NN)
paus,pause (n),pause (NN),pauses (VBZ),paused (JJ),pausing (VBG)
paussid,paussid (RB),paussid (RB),paussids (NNS)
pave,pave (v),paving (VBG),paved (VBD)
pay,pay (v),paying (VBG),pay (NN)
payload,payload (n),payload (NN)
peac,peace (n),peace (JJ),peacefully (RB)
peaceabl,peaceably (RB),peaceably (RB)
peak,peak (n),peak (JJ)
peculiar,peculiarly (RB),peculiarly (RB)
pedant,pedantic (JJ),pedantic (JJ)
pedest,pedestal (n),pedestal (JJ)
pedestrian,pedestrian (n),pedestrian (JJ)
pedigre,pedigree (n),pedigree (JJ)
peel,peel (v),peel (VBP),peeling (VBG)
peep,peep (v),peeping (VBG)
peer,peer (n),peer (NN),peers (NNS),peering (VBG),peered (VBD)
pelt,pelt (v),pelting (VBG)
pen,pen (v),pens (VBZ),pen (JJ),penned (VBD)
penal,penal (JJ),penal (JJ)
penetr,penetration (n),penetration (NN),penetrate (JJ)
pensiv,pensive (JJ),pensive (JJ)
peopl,people (n),peoples (NNS),people (NNS)
per,per (IN),per (IN)
perceiv,perceive (NN),perceive (NN),perceives (VBZ)
percept,perception (n),perception (NN),perceptions (NNS)
perch,perch (v),perching (VBG)
perfect,perfection (n),perfection (NN),perfect (JJ),perfectly (RB)
perform,performs (NNS),performs (NNS),performed (VBD),performance (NN),perform (JJ),performing (VBG)
perfunctori,perfunctory (JJ),perfunctory (JJ)
perhap,perhaps (RB),perhaps (RB)
peril,perilous (JJ),perilous (JJ)
period,periodically (RB),periodically (RB),periods (NNS),period (NN),periodic (JJ)
peripher,peripherally (RB),peripherally (RB),peripheral (JJ)
peripheri,periphery (n),periphery (NN)
perish,perish (v),perished (VBD)
perk,perk (n),perks (NNS)
perman,permanent (n),permanent (JJ)
permiss,permission (n),permission (NN)
permit,permit (v),permitting (VBG),permits (VBZ),permit (NN),permitted (VBD)
permut,permutation (n),permutations (NNS)
perpetr,perpetrator (n),perpetrator (NN)
perpetu,perpetuate (v),perpetuating (VBG)
perplex,perplexity (n),perplexity (NN),perplexing (NN)
persecutor,persecutor (n),persecutors (NNS)
persist,persists (NNS),persists (NNS),persistent (JJ),persist (VBP),persistence (NN),persisted (VBD)
person,person (n),persons (NNS),personal (JJ),personally (RB),personality (NN),person (NN)
persona,persona (n),persona (JJ)
perspect,perspective (n),perspectives (NNS),perspective (JJ)
persuad,persuade (v),persuaded (VBD),persuade (JJ)
persuas,persuasion (n),persuasion (NN)
pertain,pertain (NN),pertain (NN)
pertin,pertinent (JJ),pertinent (JJ)
pervers,perversely (RB),perversely (RB)
pest,pest (n),pest (JJS)
pester,pester (v),pestering (VBG)
pestilenti,pestilential (JJ),pestilential (JJ)
pet,pet (n),pet (JJ),pets (NNS)
petal,petal (n),petals (NNS)
peter,peter (n),peter (NN),petered (VBD)
petit,petition (n),petition (NN)
petition,petitioner (n),petitioners (NNS)
petrifi,petrify (v),petrified (VBN)
phallic,phallic (JJ),phallic (JJ)
phantom,phantom (n),phantom (NN)
phase,phase (n),phases (NNS),phase (NN)
phenomenon,phenomenon (VBP),phenomenon (VBP)
pheromon,pheromonal (JJ),pheromonal (JJ),pheromones (NNS)
philosoph,philosophical (JJ),philosophical (JJ),philosophers (NNS)
philosophi,philosophy (n),philosophy (NN),philosophies (NNS)
phobic,phobic (JJ),phobic (JJ)
phone,phone (n),phones (NNS)
phonet,phonetic (JJ),phonetic (JJ)
photo,photo (n),photo (NN)
photocopi,photocopy (v),photocopying (VBG)
photosynthet,photosynthetic (JJ),photosynthetic (JJ)
phrase,phrase (n),phrase (NN),phrased (JJ)
phylum,phylum (n),phylum (NN)
physic,physic (n),physics (NNS),physical (JJ),physically (RB)
physicist,physicist (n),physicists (NNS)
physiolog,physiological (JJ),physiological (JJ),physiology (VBP)
phytoplankton,phytoplankton (n),phytoplankton (NN)
pick,pick (n),picks (NNS),pick (JJ),picking (VBG),picked (VBD)
pictori,pictorial (n),pictorial (JJ)
pictur,picturing (n),picturing (NN),pictures (NNS),picture (NN)
pidgin,pidgin (n),pidgin (NN)
piec,piece (n),piece (NN),pieces (NNS),piecing (VBG)
piecem,piecemeal (NN),piecemeal (NN)
pigment,pigment (n),pigments (NNS)
pile,pile (v),piled (VBN)
pilgrim,pilgrim (n),pilgrims (NNS)
pilgrimag,pilgrimage (n),pilgrimage (JJ)
pillag,pillage (n),pillage (NN),pillaged (VBD)
pillar,pillar (n),pillars (NNS)
pilot,pilot (n),pilot (NN),piloting (VBG)
pin,pin (n),pin (NN),pinning (VBG),pinned (VBN)
pinhead-s,pinhead-sized (JJ),pinhead-sized (JJ)
pinhol,pinhole (n),pinhole (JJ)
pinpoint,pinpoint (n),pinpoint (JJ),pinpoints (NNS)
pinprick,pinprick (VBP),pinprick (VBP)
pioneer,pioneer (v),pioneering (VBG),pioneers (NNS),pioneered (VBD),pioneer (NN)
pipe,pip (v),piped (VBD),pipes (NNS)
piqu,pique (n),pique (JJ)
piraci,piracy (n),piracy (NN)
piss,piss (n),piss (JJ),pissed (VBD)
pisspoor,pisspoor (NN),pisspoor (NN)
pistol,pistol (n),pistol (NN)
pit,pit (n),pits (NNS)
pitch,pitch (v),pitched (VBD)
pivot,pivot (n),pivot (JJ)
pixel,pixel (n),pixel (NN)
place,place (v),placed (VBN),place (NN),places (NNS)
placid,placid (NN),placid (NN)
plagu,plague (v),plagued (VBN),plague (NN)
plain,plain (n),plain (JJ),plainly (RB)
plaintiv,plaintively (RB),plaintively (RB),plaintive (JJ)
plait,plaited (JJ),plaited (JJ)
plan,plan (v),planned (VBD),plan (NN),planning (NN),plans (NNS)
plane,plane (n),plane (NN)
planet,planet (n),planet (NN),planets (NNS)
planet-air,planet-air (JJ),planet-air (JJ)
planet-s,planet-sized (JJ),planet-sized (JJ)
planet-span,planet-spanning (NN),planet-spanning (NN)
planetfal,planetfall (JJ),planetfall (JJ)
planetsid,planetside (NN),planetside (NN)
plant,plant (n),plant (NN),plants (NNS)
plantat,plantation (n),plantation (NN),plantations (NNS)
plantation-own,plantation-owners (NNS),plantation-owners (NNS)
plastic,plastic (n),plastic (NN),plastics (NNS)
plate,plated (JJ),plated (JJ),plate (NN),plates (NNS)
platitud,platitude (n),platitude (NN),platitudes (NNS)
