STEM,LEMMA,FORMS...
antithesi,antithesis (n),antithesis (NN)
anus,anus (n),anus (NN)
anxieti,anxiety (n),anxiety (NN)
anxious,anxious (JJ),anxious (JJ),anxiously (RB)
any,any (DT),any (DT)
anybodi,anybody (VBP),anybody (VBP)
anyon,anyone (NN),anyone (NN)
anyth,anything (NN),anything (NN)
anyway,anyway (RB),anyway (RB)
anywher,anywhere (RB),anywhere (RB)
apart,apart (RB),apart (RB)
ape,ape (n),ape (NN),apes (VBZ)
ape-th,ape-things (JJ),ape-things (JJ)
apex,apex (n),apex (NN)
aphid,aphid (VBP),aphid (VBP),aphids (NNS)
apolog,apologizing (NN),apologizing (NN),apologized (VBD),apologize (NN)
apost,apostate (VBP),apostate (VBP)
appal,appal (v),appalling (VBG),appalled (JJ),appallingly (RB)
appar,apparent (NN),apparent (NN),apparently (RB)
apparit,apparition (n),apparition (NN)
appeal,appeal (n),appeal (NN),appealing (VBG)
appear,appear (v),appearing (VBG),appears (VBZ),appearance (NN),appear (VBP),appeared (VBD)
appeas,appeasement (n),appeasement (JJ),appeasingly (RB)
appendag,appendages (VBZ),appendages (VBZ)
appendix,appendix (n),appendix (RB)
appli,apply (v),applied (VBN)
applic,application (n),application (NN)
appoint,appoint (v),appointed (VBN),appointment (NN)
apprais,appraisal (n),appraisal (JJ),appraised (JJ)
appreci,appreciation (VBP),appreciation (VBP),appreciate (NN),appreciative (JJ)
apprentic,apprentice (n),apprentices (NNS)
approach,approach (n),approaches (NNS),approached (JJ),approaching (VBG),approach (NN)
approb,approbation (n),approbation (NN)
appropri,appropriately (RB),appropriately (RB),appropriate (JJ),appropriated (JJ)
approv,approve (v),approved (VBD),approval (NN)
approxim,approximate (v),approximates (VBZ),approximate (JJ),approximation (NN)
apt,apt (JJ),apt (JJ)
aptitud,aptitude (n),aptitude (NN)
aquat,aquatic (n),aquatic (JJ)
arachnid,arachnid (n),arachnid (JJ)
arachnomorph,arachnomorphic (JJ),arachnomorphic (JJ)
arachnophob,arachnophobe (NN),arachnophobe (NN)
arbitrari,arbitrary (JJ),arbitrary (JJ)
arbor,arboreal (JJ),arboreal (JJ)
arc,arc (v),arcing (VBG),arcs (NN),arc (NN)
arch,arch (v),arched (VBD),arch (NN)
architect,architect (n),architects (NNS),architect (VBP)
architectur,architecture (n),architecture (NN),architectural (JJ)
archiv,archive (v),archived (VBD),archives (NNS),archive (JJ)
are,be (v),are (VBP)
area,area (n),area (NN),areas (NNS)
aren,aren (NN),aren (NN)
argu,argue (JJ),argue (JJ),arguing (VBG),argued (VBD)
argument,argument (n),arguments (NNS),argument (NN)
aris,arise (v),arises (VBZ),arising (VBG),arise (VBP)
arisen,arisen (IN),arisen (IN)
arithmet,arithmetic (n),arithmetic (JJ),arithmetical (JJ)
ark,ark (n),ark (JJ),arks (NNS)
arm,arm (n),arm (JJ),arms (NNS),armed (VBD)
armi,army (n),army (JJ),armies (NNS)
armour,armour (v),armoured (VBD),armour (JJ)
armour-smith,armour-smithing (JJ),armour-smithing (JJ)
armouri,armoury (n),armoury (NN)
armpit,armpit (n),armpits (NNS)
aros,arise (v),arose (VBP)
around,around (IN),around (IN)
arous,arouses (NNS),arouses (NNS)
arrang,arrangement (n),arrangements (NNS),arranging (VBG),arrangement (NN),arranged (VBN)
array,array (n),array (NN),arrays (VBZ)
arrest,arrest (v),arrested (VBD)
arriv,arrives (NNS),arrives (NNS),arrival (JJ),arrived (VBD),arrive (JJ),arriving (VBG)
arrow,arrow (n),arrow (NN),arrowing (VBG)
ars,arse (VBP),arse (VBP)
arsenal,arsenal (n),arsenal (JJ)
art,art (n),art (NN),artfully (RB)
artefact,artefact (n),artefacts (NNS)
arthropod,arthropod (n),arthropods (NNS),arthropod (IN)
articul,articulated (JJ),articulated (JJ)
artific,artificer (n),artificer (NN),artifice (NN)
artifici,artificial (JJ),artificial (JJ)
artilleri,artillery (VBZ),artillery (VBZ)
artisan,artisan (n),artisan (RB),artisans (NNS)
artist,artist (n),artists (NNS),artistic (JJ)
ascend,ascend (v),ascend (VBP),ascending (VBG),ascends (VBZ)
ascens,ascension (n),ascension (NN)
ascent,ascent (n),ascent (JJ)
ash,ash (n),ashes (NNS)
asham,ashamed (VBD),ashamed (VBD)
asid,aside (n),aside (RB)
ask,asks (NNS),asks (NNS),asked (VBD),asking (VBG),ask (NN)
asleep,asleep (JJ),asleep (JJ)
aspect,aspect (n),aspects (NNS)
aspir,aspire (NN),aspire (NN)
assail,assail (v),assailing (VBG),assailed (VBD)
assassin,assassin (n),assassins (NNS),assassin (VBP)
assault,assault (v),assaulting (VBG),assault (NN)
assembl,assembled (JJ),assembled (JJ),assemble (JJ)
assert,assert (JJ),assert (JJ),asserting (VBG),asserted (JJ)
assess,ass (n),assess (JJ),assesses (NNS),assessment (JJ)
asset,asset (n),asset (NN),assets (NNS)
assign,assign (v),assigned (VBD)
assimil,assimilate (NN),assimilate (NN)
assist,assistant (n),assistant (JJ),assistance (NN),assists (VBZ),assisted (VBN),assist (JJ),assistants (NNS)
associ,association (n),association (NN),associated (VBN),associate (JJ)
assort,assortment (n),assortment (NN)
assum,assumed (JJ),assumed (JJ),assume (IN),assuming (VBG)
assumpt,assumption (n),assumptions (NNS),assumption (NN)
assur,assurance (n),assurance (NN),assurances (NNS),assured (VBD),assure (NN),assuring (VBG)
asteroid,asteroid (n),asteroid (JJ)
astrolog,astrology (n),astrology (NN)
astronaut,astronaut (n),astronauts (NNS)
astronaut-soldi,astronaut-soldiers (NNS),astronaut-soldiers (NNS)
astronom,astronomer (n),astronomers (NNS),astronomer (VBP),astronomical (JJ)
astronomi,astronomy (n),astronomy (NN)
atavist,atavistic (JJ),atavistic (JJ)
ate,ate (n),ate (JJ)
atheist,atheistic (JJ),atheistic (JJ)
atmospher,atmosphere (n),atmosphere (RB)
atop,atop (NN),atop (NN)
atrophi,atrophy (v),atrophying (VBG)
attach,attachment (n),attachment (JJ),attach (NN),attached (VBN)
attack,attacker (n),attacker (NN),attacked (VBD),attackers (NNS),attack (NN),attacks (NNS),attacking (VBG)
attain,attain (v),attained (VBN)
attempt,attempted (JJ),attempted (JJ),attempt (NN),attempts (NNS),attempting (VBG)
attend,attendance (n),attendance (NN),attendant (JJ),attending (VBG),attended (VBD),attends (NNS),attendants (NNS)
attent,attention (n),attention (NN),attentions (NNS),attentively (RB)
attract,attractive (JJ),attractive (JJ),attracts (VBZ),attracting (VBG),attraction (JJ),attract (JJ)
attribut,attribute (n),attributes (NNS)
audibl,audible (n),audible (JJ),audibility (NN)
audienc,audience (n),audience (NN)
auditori,auditory (NN),auditory (NN)
augment,augmented (JJ),augmented (JJ)
author,author (n),authors (NNS),authority (NN),author (NN)
auto-repair,auto-repair (JJ),auto-repair (JJ)
autom,automate (v),automated (VBN)
automat,automatically (RB),automatically (RB),automatic (NN),automatics (NNS)
autonom,autonomous (JJ),autonomous (JJ)
autonomi,autonomy (n),autonomy (NN)
auxiliari,auxiliary (n),auxiliaries (NNS),auxiliary (JJ)
avail,available (JJ),available (JJ)
avatar,avatar (n),avatar (NN)
averag,average (n),average (JJ)
avert,averted (JJ),averted (JJ)
avoid,avoid (NN),avoid (NN),avoiding (VBG),avoided (JJ)
avrana,avrana (NN),avrana (NN)
aw,awful (JJ),awful (JJ)
await,await (v),await (VBP),awaiting (VBG)
awak,awake (v),awake (VB)
awaken,awaken (v),awakening (VBG),awaken (VBN)
awakene,awakenees (NNS),awakenees (NNS)
awar,awareness (n),awareness (NN),aware (JJ)
award,award (n),awards (NNS)
away,away (RB),away (RB)
awe,awe (n),awe (NN)
awe-inspir,awe-inspiring (JJ),awe-inspiring (JJ)
awesom,awesome (JJ),awesome (JJ)
awestruck,awestruck (NN),awestruck (NN)
awkward,awkwardness (n),awkwardness (NN),awkward (RB),awkwardly (RB)
awok,awoke (JJ),awoke (JJ)
awoken,awoken (JJ),awoken (JJ)
axi,axis (n),axis (JJ)
axl,axle (n),axle (RB)
babbl,babble (v),babbling (VBG),babble (JJ)
babi,baby (n),baby (NN)
back,back (v),backing (VBG),backed (VBD),back (RB),backs (VBZ)
back-fac,back-facing (JJ),back-facing (JJ)
backdrop,backdrop (n),backdrop (JJ)
background,background (n),background (IN)
backsid,backside (n),backside (NN)
backtrack,backtracks (NNS),backtracks (NNS)
backward,backwards (NNS),backwards (NNS)
backwood,backwoods (n),backwoods (NNS)
bacteria,bacteria (n),bacteria (NNS)
bad,badly (RB),badly (RB),bad (JJ)
badg,badge (v),badge (VBP)
baffl,baffle (v),baffling (VBG),baffled (VBN)
bafflement,bafflement (n),bafflement (JJ)
bag,bag (v),bagged (VBN),bag (NN)
baggag,baggage (n),baggage (NN)
bait,bait (n),bait (NN)
balanc,balance (v),balanced (VBD),balance (NN)
bald,bald (IN),bald (IN)
bale,bale (n),bales (NNS),baleful (JJ),balefully (RB)
balk,balk (n),balks (NNS)
ball,ball (n),ball (JJ),balls (NNS)
ballet,ballet (n),ballet (NN)
balloon,balloon (n),balloons (NNS),balloon (NN)
balloonist,balloonist (n),balloonist (JJ),balloonists (NNS)
ban,ban (v),banned (VBN)
band,band (n),bands (NNS),band (NN)
bandag,bandage (v),bandage (VBP)
bandanna,bandanna (n),bandanna (NN)
bang,banging (n),banging (NN),bang (VBD),bangs (VBP)
banish,banish (v),banished (VBD)
bank,bank (n),banks (NNS),bank (NN)
banter,banter (n),banter (NN)
bar,bar (n),bars (NNS),barred (VBD),barring (VBG)
barb,barb (v),barbed (VBD)
barbar,barbarism (n),barbarism (NN),barbaric (JJ),barbarous (JJ)
barclay,barclay (NN),barclay (NN)
bare,bare (NN),bare (NN),barely (RB)
bargain,bargain (v),bargain (VBP),bargaining (NN),bargained (VBD)
bark,bark (v),barked (VBD),bark (JJ)
barrag,barrage (n),barrage (NN)
barrel,barrel (v),barrelled (VBN),barrel (IN)
barren,barren (VBP),barren (VBP)
barrier,barrier (n),barrier (NN),barriers (NNS)
barter,barter (n),barter (NN),bartered (VBN)
base,base (n),bases (NNS),based (VBN),base (VBP)
basi,basis (n),basis (NN)
basic,basic (n),basic (NNS),basically (RB)
basin,basin (n),basins (NNS)
bastard,bastard (n),bastards (NNS),bastard (NN)
bat,bat (n),bats (NNS)
batch,batch (n),batch (NN)
bath,bathed (JJ),bathed (JJ)
baton,baton (VBZ),baton (VBZ)
batter,battering (n),battering (NN),battered (VBD)
batteri,battery (n),battery (RB)
battl,battle (n),battle (NN),battles (NNS),battled (VBD)
battle-cri,battle-cry (NN),battle-cry (NN)
battlefield,battlefield (n),battlefields (NNS)
bay,bay (v),bays (VBZ),bay (NN)
bbbbbut,bbbbbut (NN),bbbbbut (NN)
be,being (n),beings (NNS)
beachhead,beachhead (n),beachheads (NNS),beachhead (NN)
beacon,beacon (n),beacon (JJ),beacons (NNS)
bead,bead (v),bead (VBP)
beam,beam (n),beams (NNS)
bear,bear (n),bears (NNS),bear (JJ),bearing (NN)
bearabl,bearable (JJ),bearable (JJ)
beard,beard (v),beard (VBP)
beast,beast (n),beast (NN),beasts (NNS)
beasti,beasties (JJ),beasties (JJ)
beat,beat (v),beating (VBG),beat (VBD)
beaten,beat (v),beaten (VBP)
beauti,beautiful (JJ),beautiful (JJ),beauty (NN),beautifully (RB)
becam,become (v),became (VBD)
because,because (IN),because (IN)
beck,beck (n),beck (NN)
becom,become (v),becomes (VBZ),becoming (VBG),become (VBN)
bed,bed (v),bed (VBD)
bedsid,bedside (VBP),bedside (VBP)
been,be (v),been (VBN)
beetl,beetle (n),beetles (NNS),beetle (JJ)
befit,befitting (NN),befitting (NN)
before,before (IN),before (IN)
beg,beg (v),begging (VBG)
began,begin (v),began (VBD)
beget,beget (NN),beget (NN)
begin,begin (v),begins (VBZ),beginning (VBG),begin (NN),beginnings (NNS)
begun,begin (v),begun (VBN)
behalf,behalf (n),behalf (NN)
behav,behaving (NN),behaving (NN),behaved (VBN)
behaviour,behaviour (n),behaviour (JJ),behaviours (NNS),behavioural (JJ)
behind,behind (n),behind (IN)
being,be (v),being (VBG)
belat,belatedly (RB),belatedly (RB)
beli,belie (v),belied (VBD)
belief,belief (n),belief (NN),beliefs (NN)
believ,believer (n),believers (NNS),believer (RB),believing (VBG),believed (VBN),believe (VBP),believes (VBZ)
bell,bell (n),bell (NN)
bella,bella (NN),bella (NN)
belli,belly (n),bellies (NNS),belly (RB)
bellow,bellow (v),bellowed (VBD),bellowing (VBG)
belong,belong (v),belonging (VBG),belonged (VBD),belongs (VBZ),belong (NN)
belov,beloved (VBD),beloved (VBD)
below,below (IN),below (IN)
belt,belted (JJ),belted (JJ),belt (NN),belts (NNS)
bend,bend (v),bending (VBG)
beneath,beneath (NN),beneath (NN)
benefici,beneficial (JJ),beneficial (JJ)
benefit,benefit (n),benefit (NN)
benign,benign (JJ),benign (JJ)
bent,bent (n),bent (JJ)
bequeath,bequeath (RB),bequeath (RB)
berserk,berserk (n),berserk (NN)
beseech,beseechingly (RB),beseechingly (RB)
beset,beset (v),beset (VBN)
besid,beside (IN),beside (IN),besides (NNS)
best,best (n),best (RBS)
best-dress,best-dressed (JJ),best-dressed (JJ)
bestial,bestial (JJ),bestial (JJ)
bestrod,bestrode (JJ),bestrode (JJ)
bet,bet (n),bet (IN)
betray,betray (v),betray (VBP),betrayed (JJ)
better,better (n),better (RBR),betters (NNS)
between,between (IN),between (IN)
bewild,bewilder (v),bewildered (VBN),bewildering (VBG)
bewilder,bewilderment (n),bewilderment (JJ)
beyond,beyond (IN),beyond (IN)
bianca,bianca (JJ),bianca (JJ),biancas (JJ)
bicker,bickering (n),bickering (NN)
bid,bidding (n),bidding (NN),bid (NN)
big,big (JJ),big (JJ)
bigger,bigger (JJR),bigger (JJR)
bill,bill (n),bill (NN)
billion,billion (n),billion (CD)
bind,bind (v),bind (VBP)
binocular,binocular (JJ),binocular (JJ)
biochem,biochemical (JJ),biochemical (JJ)
biochemistri,biochemistry (n),biochemistry (NN)
bioelectr,bioelectric (JJ),bioelectric (JJ)
bioengin,bioengineering (n),bioengineering (NN)
biograph,biographer (n),biographer (RB)
biohazard,biohazard (n),biohazard (NN)
biolog,biological (JJ),biological (JJ),biology (NN)
bioluminesc,bioluminescent (NN),bioluminescent (NN)
biomechan,biomechanical (JJ),biomechanical (JJ)
biopsi,biopsy (n),biopsy (JJ)
biospher,biosphere (n),biosphere (RB)
biotechnolog,biotechnology (VBP),biotechnology (VBP),biotechnological (JJ)
bird,bird (n),birds (NNS),bird (NN)
birth,birth (n),birth (NN)
birthday,birthday (n),birthday (JJ)
birthplac,birthplace (n),birthplace (NN)
birthright,birthright (n),birthright (NN)
bit,bit (n),bits (NNS),bit (RB)
bitch,bitch (v),bitch (VBP)
bite,biting (NN),biting (NN),bite (JJ),bites (VBZ)
bitter,bitterly (RB),bitterly (RB),bitter (RBR)
bizarr,bizarre (JJ),bizarre (JJ),bizarrely (RB)
black,black (n),black (JJ)
blacken,blacken (v),blackened (VBD),blackening (VBG)
blade,blades (VBP),blades (VBP),blade (NN)
blade-lin,blade-lined (JJ),blade-lined (JJ)
